Domicilio,M2,M2_Construccion,Ubicacion,COS,CUS,Seguridad,Edad,No_Cuartos,No_banos,Dos_Plantas,M2_Cochera,minisplit_2ton,minisplit_1_5ton,minisplit_1ton,No_recamaras,Nivel_Socioeconomico,Opinion_Valor_Precio_Final
1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,3,8059735.943902556
1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,7535498.288114067
San Luis Potosi #133,102.61,102.61,3,1,1,8,15,6,1,0,0,0,0,0,2,2,940000
Cerrada de las Siembras #74,151,59.63,2,0.2,0.39,8,15,7,1,0,7,0,0,1,2,2,890000
Paseo Santa Cruz #12,126,125.44,1,0.5,1,9,15,12,1.5,1,21.13,0,0,2,3,3,1508000
De los Manantiales #70,121,73,5,0.6,1.2,8,15,8,1.5,1,30,1,0,1,2,2,852000
Campodonico #54,216,75.56,3,0.35,0.35,9,15,4,1,0,15,0,0,0,0,4,1831000
General Pina #65,1510,2337.24,3,1.55,1.55,8,15,17,4,1,189.15,1,0,1,4,2,13042000
Cerrada Montebello #36,300,405.42,4,0.68,1.35,9,15,11,2.5,1,32.64,2,2,0,3,4,5680000
Blvd. Paseo Rio Sonora #85,1211,841.87,3,0.7,0.7,8,15,9,0.5,0,330.61,0,0,0,4,3,117190
Heraclito #42,119,134.51,2,0.57,1.13,8,15,11,2,1,22.95,1,0,2,2,2,1009000
Ignacio Vallarta #2,256,137.85,2,0.24,0.54,8,15,8,2.5,0,0,2,0,2,2,4,2149000
Arcoiris #9,180,237.44,1,0.66,1.32,8,15,16,6,1,0,0,0,6,6,3,1731000
Obelisque #13,287,276,4,0.5,1,9,15,7,2.5,1,12,0,0,0,3,3,2920000
Luz Valencia #1099,116,91.61,5,0.6,1.2,7,15,8,2,0,17.43,0,0,2,3,1,778000
Terra Vieja #70,180,150.71,4,0.6,1.2,8,15,9,2,1,18,0,0,1,4,3,2380000
Quinta de los Jilgueros #3,136,102.5,1,0.75,0.75,8,15,7,1,0,10,1,1,3,3,3,1278000
Herreria #14,358.35,194.95,3,0.6,0.54,8,15,12,4,0,29.78,2,1,2,4,2,3766000
Caso_Prueba,100,110,2,0.57,1.13,8,14,8,2,1,10,0,0,1,2,1,870000
Blvd. Juan Navarrete #66,2126,994.82,4,0.47,0.47,9,15,6,2,0,150,0,0,0,4,4,151120
Retorno Provincia Segovia,144,44.66,2,0.31,0.31,8,15,6,1,0,99.35,0,1,1,2,2,678000
